Sample	site	collection_date	site_order	Cluster
F04782	Crate	2019-12-16 18:00:00	0	Kentucky-13
F04783	Crate	2019-12-16 06:00:00	0	Kentucky-12
F04784	Crate	2019-12-16 06:00:00	0	Kentucky-13
F04785	Crate	2019-12-16 06:00:00	0	Kentucky-12
F04786	Crate	2019-12-16 06:00:00	0	Kentucky-15
F04787	Crate	2019-12-17 18:00:00	0	Kentucky-9
F04788	Crate	2019-12-17 18:00:00	0	Kentucky-15
F04789	Crate	2019-12-17 06:00:00	0	Kentucky-15
F04790	Crate	2019-12-17 06:00:00	0	Kentucky-9
F04791	Crate	2019-12-17 06:00:00	0	Kentucky-15
F04792	Crate	2019-12-17 06:00:00	0	Kentucky-9
F04793	Blue Conveyor (MD)	2019-12-30 06:00:00	29	Enteritidis-3
F04794	Crate	2019-12-30 06:00:00	0	Kentucky-12
F04795	Marel	2019-12-30 18:00:00	22	Enteritidis-2
F04796	Cutting Board	2019-12-30 18:00:00	26	Enteritidis-3
F04797	Two-sided Conveyor Belts	2019-12-30 18:00:00	27	Enteritidis-2
F04798	Conveyor before DSI	2019-12-30 18:00:00	28	Enteritidis-3
F04799	Blue Conveyor (MD)	2019-12-30 18:00:00	29	Enteritidis-3
F04800	Marel (Boneless)	2019-12-30 18:00:00	30	Enteritidis-2
F04801	Crate	2019-12-30 18:00:00	0	Enteritidis-2
F04802	Drumette Chute	2019-12-31 06:00:00	9	Kentucky-16
F04803	Crate	2019-12-31 06:00:00	0	Kentucky-12
F04804	Crate	2019-12-31 06:00:00	0	Kentucky-12
F04805	Crate	2019-12-31 06:00:00	0	Kentucky-12
F04807	Crate	2019-12-31 06:00:00	0	Kentucky-12
F04808	Drumette Chute	2019-12-31 18:00:00	9	Enteritidis-2
F04809	Drumette Conveyor	2019-12-31 18:00:00	10	Enteritidis-2
F04810	Crate	2019-12-31 18:00:00	0	Enteritidis-2
F04811	Drumette Chute	2019-12-10 06:00:00	9	Kentucky-17
F04812	Crate	2019-12-10 06:00:00	0	Kentucky-21
F04813	Tip Cutter	2019-12-10 18:00:00	3	Kentucky-15
F04814	Wing Conveyor	2019-12-10 18:00:00	6	Kentucky-15
F04815	Crate	2019-12-10 18:00:00	0	Kentucky-15
F04816	Drumette Chute	2019-12-10 18:00:00	9	Kentucky-15
F04817	Crate	2020-01-06 06:00:00	0	Kentucky-13
F04818	Crate	2020-01-06 06:00:00	0	Kentucky-13
F04819	Crate	2020-01-06 06:00:00	0	Kentucky-15
F04820	Crate	2020-01-06 06:00:00	0	Kentucky-15
F04821	JLR	2020-01-06 06:00:00	14	Kentucky-13
F04822	Crate	2020-01-06 06:00:00	0	Kentucky-15
F04823	Crate	2020-01-06 06:00:00	0	Enteritidis-2
F04824	BOB Cutter	2020-01-06 06:00:00	11	Enteritidis-2
F04825	Drum Cutter	2020-01-06 06:00:00	18	Enteritidis-2
F04826	BOB Chute	2020-01-06 18:00:00	12	Enteritidis-2
F04827	BOB Chute	2020-01-06 06:00:00	12	Enteritidis-2
F04828	Crate	2020-01-07 06:00:00	0	Kentucky-19
F04829	Crate	2020-01-07 06:00:00	0	Kentucky-19
F04830	Crate	2020-01-07 06:00:00	0	Kentucky-17
F04831	Marel (Boneless)	2020-01-07 06:00:00	30	Enteritidis-2
F04832	Blue Conveyor (MD)	2020-01-07 06:00:00	29	Enteritidis-2
F04833	Cutting Board	2020-01-07 06:00:00	26	Enteritidis-2
F04834	Marel	2020-01-07 06:00:00	22	Kentucky-12
F04835	Conveyor	2020-01-07 06:00:00	21	Kentucky-12
F04836	Marel (Boneless)	2020-01-07 18:00:00	30	Enteritidis-2
F04837	Two-sided Conveyor Belts	2020-01-07 18:00:00	27	Enteritidis-2
F04838	Two-sided Conveyor Belts	2020-01-07 18:00:00	27	Kentucky-13
F04839	Cutting Board	2020-01-07 18:00:00	26	Kentucky-13
F04840	Cutting Board	2020-01-07 18:00:00	26	Enteritidis-2
F04841	"S" Shape Conveyor	2020-01-07 18:00:00	25	Enteritidis-2
F04842	"S" Shape Conveyor	2020-01-07 18:00:00	25	Kentucky-13
F04843	Rapid Green Cone	2020-01-07 18:00:00	24	Kentucky-13
F04844	Dumper Conveyor	2020-01-07 18:00:00	23	Kentucky-13
F04845	Marel	2020-01-07 18:00:00	22	Enteritidis-2
F04846	Crate	2020-01-07 06:00:00	0	Kentucky-19
F04847	Cone Line Cones 2	2020-01-13 06:00:00	20	Enteritidis-5
F04848	Crate	2020-01-14 06:00:00	0	Kentucky-13
F04849	Crate	2020-01-14 06:00:00	0	Kentucky-12
F04850	Wing Conveyor	2020-01-14 06:00:00	6	Kentucky-12
F04851	Drumette Chute	2020-01-14 06:00:00	9	Kentucky-13
F04852	Drumette Chute	2020-01-14 06:00:00	9	Enteritidis-5
F04853	Drumette Conveyor	2020-01-14 06:00:00	10	Kentucky-12
F04854	"S" Shape Conveyor	2020-01-20 06:00:00	25	Enteritidis-5
F04855	Blue Conveyor (MD)	2020-01-20 18:00:00	29	Enteritidis-2
F04856	Crate	2020-01-21 06:00:00	0	Enteritidis-2
F04857	Crate	2020-01-21 06:00:00	0	Kentucky-22
F04858	Wing Stretcher	2020-01-21 06:00:00	2	Kentucky-22
F04859	Tip Cutter	2020-01-21 06:00:00	3	Kentucky-22
F04860	Wing Chute	2020-01-21 06:00:00	5	Kentucky-22
F04861	Drumette Cutter	2020-01-21 06:00:00	8	Enteritidis-2
F04862	Drumette Chute	2020-01-21 06:00:00	9	Kentucky-22
F04863	Drumette Conveyor	2020-01-21 06:00:00	10	Kentucky-22
F04864	Conveyor	2020-01-28 18:00:00	21	Enteritidis-5
F04865	Conveyor	2020-01-28 06:00:00	21	Enteritidis-5
F04866	Conveyor	2020-01-28 06:00:00	21	Kentucky-12
F04867	Marel	2020-01-28 06:00:00	22	Enteritidis-2
F04868	Dumper Conveyor	2020-01-28 06:00:00	23	Enteritidis-2
F04869	"S" Shape Conveyor	2020-01-28 06:00:00	25	Enteritidis-2
F04870	Cutting Board	2020-01-28 06:00:00	26	Enteritidis-2
F04871	Two-sided Conveyor Belts	2020-01-28 06:00:00	27	Enteritidis-2
F04872	Blue Conveyor (MD)	2020-01-28 06:00:00	29	Enteritidis-2
F04873	Marel (Boneless)	2020-01-28 06:00:00	30	Enteritidis-2
F04874	Crate	2020-01-28 06:00:00	0	Enteritidis-1
F04875	Crate	2020-01-28 06:00:00	0	Kentucky-9
F04876	Crate	2020-01-28 06:00:00	0	Kentucky-15
F04877	Crate	2020-01-28 06:00:00	0	Kentucky-12
F04878	Crate	2020-01-28 06:00:00	0	Kentucky-9
F04879	BOB Cutter	2020-01-27 18:00:00	11	Enteritidis-2
F04880	BOB Chute	2020-01-27 18:00:00	12	Enteritidis-5
F04881	Leg Presser	2020-01-27 18:00:00	15	Enteritidis-5
F04882	Leg Transfer	2020-01-27 18:00:00	17	Enteritidis-2
F04883	Cone Line Cones	2020-01-27 18:00:00	19	Kentucky-25
F04884	Crate	2020-01-27 18:00:00	0	Enteritidis-5
F04885	Crate	2020-01-27 18:00:00	0	Enteritidis-5
F04886	Marel (Boneless)	2020-01-27 06:00:00	30	Enteritidis-5
F04887	Wing Cutter	2020-02-03 18:00:00	4	Enteritidis-2
F04888	Drumette Conveyor	2020-02-03 18:00:00	10	Enteritidis-2
F04889	Crate	2020-02-03 18:00:00	0	Kentucky-15
F04890	Crate	2020-02-03 18:00:00	0	Kentucky-13
F04891	Crate	2020-02-03 18:00:00	0	Kentucky-15
F04892	Wing Chute	2020-02-03 06:00:00	5	Kentucky-12
F04893	Drumette Cutter	2020-02-03 06:00:00	8	Kentucky-25
F04894	Crate	2020-02-03 06:00:00	0	Kentucky-10
F04895	Crate	2020-02-03 06:00:00	0	Kentucky-10
F04896	Crate	2020-02-04 06:00:00	0	Kentucky-15
F04897	Crate	2020-02-04 06:00:00	0	Enteritidis-2
F04898	Crate	2020-02-04 18:00:00	0	Kentucky-15
F04899	Crate	2020-02-04 18:00:00	0	Kentucky-15
F04900	BOB Cutter	2020-02-04 18:00:00	11	Enteritidis-2
F04901	BOB Cutter	2020-02-04 06:00:00	11	Kentucky-15
F04902	Drumette Chute	2020-02-11 18:00:00	9	Kentucky-12
F04903	Drumette Conveyor	2020-02-11 18:00:00	10	Kentucky-12
F04904	Conveyor	2020-02-10 18:00:00	21	Kentucky-12
F04905	Marel	2020-02-10 18:00:00	22	Enteritidis-2
F04906	Two-sided Conveyor Belts	2020-02-10 18:00:00	27	Kentucky-12
F04907	Conveyor	2020-02-10 06:00:00	21	Kentucky-9
F04908	Marel	2020-02-10 06:00:00	22	Kentucky-25
F04909	Marel	2020-02-10 06:00:00	22	Enteritidis-2
F04910	"S" Shape Conveyor	2020-02-10 06:00:00	25	Enteritidis-2
F04911	Cutting Board	2020-02-10 06:00:00	26	Enteritidis-2
F04912	Cutting Board	2020-02-10 06:00:00	26	Kentucky-25
F04913	Two-sided Conveyor Belts	2020-02-10 06:00:00	27	Enteritidis-2
F04914	Blue Conveyor (MD)	2020-02-10 06:00:00	29	Enteritidis-5
F04915	Crate	2020-02-10 06:00:00	0	Kentucky-25
F04916	Crate	2020-02-10 06:00:00	0	Kentucky-25
F04917	Crate	2020-02-10 06:00:00	0	Kentucky-25
F04918	JLR	2020-02-18 18:00:00	14	Enteritidis-2
F04919	Crate	2020-02-18 18:00:00	0	Kentucky-12
F04920	Conveyor	2020-02-19 06:00:00	21	Kentucky-15
F04921	Marel	2020-02-19 06:00:00	22	Kentucky-9
F04922	Two-sided Conveyor Belts	2020-02-19 06:00:00	27	Enteritidis-2
F04923	Crate	2020-02-19 06:00:00	0	Enteritidis-2
F04924	Dumper Conveyor	2020-02-19 18:00:00	23	Kentucky-15
F04925	Crate	2020-02-24 06:00:00	0	Kentucky-12
F04926	Crate	2020-02-24 06:00:00	0	Kentucky-13
F04927	Crate	2020-02-24 06:00:00	0	Kentucky-12
F04928	Crate	2020-02-24 06:00:00	0	Kentucky-12
F04929	Crate	2020-02-24 06:00:00	0	Kentucky-12
F04930	Drumette Conveyor	2020-02-24 18:00:00	10	Kentucky-13
F04931	BOB Chute	2020-02-25 06:00:00	12	Enteritidis-2
F04932	Cone Line Cones	2020-02-25 06:00:00	19	Enteritidis-2
F04933	Crate	2020-02-25 06:00:00	0	Kentucky-10
F04934	Crate	2020-02-25 06:00:00	0	Kentucky-10
F04935	Crate	2020-02-25 06:00:00	0	Kentucky-13
F04936	Cone Line Cones	2020-02-25 18:00:00	19	Enteritidis-2
F04937	Crate	2020-02-25 18:00:00	0	Kentucky-12
F04938	Crate	2020-02-25 06:00:00	0	Kentucky-10
F04939	Crate	2020-03-02 06:00:00	0	Kentucky-15
F04940	Crate	2020-03-02 06:00:00	0	Kentucky-9
F04941	Crate	2020-03-02 06:00:00	0	Enteritidis-5
