Sample	site	collection_date	serovar	site_order	farm_no	threshold_5	threshold_10	threshold_20	threshold_50	threshold_100	threshold_200	threshold_1000	snp_dist
F04774	Marel	2019-12-09 06:00:00	Enteritidis	22	4	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	181
F04793	Blue Conveyor (MD)	2019-12-30 06:00:00	Enteritidis	29	66	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	192
F04795	Marel	2019-12-30 18:00:00	Enteritidis	22	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04796	Cutting Board	2019-12-30 18:00:00	Enteritidis	26	36	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	192
F04797	Two-sided Conveyor Belts	2019-12-30 18:00:00	Enteritidis	27	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04798	Conveyor before DSI	2019-12-30 18:00:00	Enteritidis	28	36	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	192
F04799	Blue Conveyor (MD)	2019-12-30 18:00:00	Enteritidis	29	36	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	192
F04800	Marel (Boneless)	2019-12-30 18:00:00	Enteritidis	30	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04801	Crate	2019-12-30 18:00:00	Enteritidis	0	14	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04808	Drumette Chute	2019-12-31 18:00:00	Enteritidis	9	68	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04809	Drumette Conveyor	2019-12-31 18:00:00	Enteritidis	10	68	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04810	Crate	2019-12-31 18:00:00	Enteritidis	0	68	Enteritidis-3	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	191
F04823	Crate	2020-01-06 06:00:00	Enteritidis	0	33	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04824	BOB Cutter	2020-01-06 06:00:00	Enteritidis	11	33	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04825	Drum Cutter	2020-01-06 06:00:00	Enteritidis	18	33	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04826	BOB Chute	2020-01-06 18:00:00	Enteritidis	12	17	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	198
F04827	BOB Chute	2020-01-06 06:00:00	Enteritidis	12	33	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04831	Marel (Boneless)	2020-01-07 06:00:00	Enteritidis	30	20	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04832	Blue Conveyor (MD)	2020-01-07 06:00:00	Enteritidis	29	20	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	197
F04833	Cutting Board	2020-01-07 06:00:00	Enteritidis	26	20	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04836	Marel (Boneless)	2020-01-07 18:00:00	Enteritidis	30	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04837	Two-sided Conveyor Belts	2020-01-07 18:00:00	Enteritidis	27	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04840	Cutting Board	2020-01-07 18:00:00	Enteritidis	26	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04841	"S" Shape Conveyor	2020-01-07 18:00:00	Enteritidis	25	36	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04845	Marel	2020-01-07 18:00:00	Enteritidis	22	36	Enteritidis-3	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	191
F04847	Cone Line Cones 2	2020-01-13 06:00:00	Enteritidis	20	2	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	178
F04852	Drumette Chute	2020-01-14 06:00:00	Enteritidis	9	1	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	179
F04854	"S" Shape Conveyor	2020-01-20 06:00:00	Enteritidis	25	60	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	179
F04855	Blue Conveyor (MD)	2020-01-20 18:00:00	Enteritidis	29	35	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04856	Crate	2020-01-21 06:00:00	Enteritidis	0	57	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04861	Drumette Cutter	2020-01-21 06:00:00	Enteritidis	8	57	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	193
F04864	Conveyor	2020-01-28 18:00:00	Enteritidis	21	52	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	179
F04865	Conveyor	2020-01-28 06:00:00	Enteritidis	21	34	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	178
F04867	Marel	2020-01-28 06:00:00	Enteritidis	22	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04868	Dumper Conveyor	2020-01-28 06:00:00	Enteritidis	23	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	197
F04869	"S" Shape Conveyor	2020-01-28 06:00:00	Enteritidis	25	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04870	Cutting Board	2020-01-28 06:00:00	Enteritidis	26	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04871	Two-sided Conveyor Belts	2020-01-28 06:00:00	Enteritidis	27	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04872	Blue Conveyor (MD)	2020-01-28 06:00:00	Enteritidis	29	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04873	Marel (Boneless)	2020-01-28 06:00:00	Enteritidis	30	34	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04874	Crate	2020-01-28 06:00:00	Enteritidis	0	34	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	192
F04879	BOB Cutter	2020-01-27 18:00:00	Enteritidis	11	56	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04880	BOB Chute	2020-01-27 18:00:00	Enteritidis	12	56	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	177
F04881	Leg Presser	2020-01-27 18:00:00	Enteritidis	15	56	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	179
F04882	Leg Transfer	2020-01-27 18:00:00	Enteritidis	17	56	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04884	Crate	2020-01-27 18:00:00	Enteritidis	0	17	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	179
F04885	Crate	2020-01-27 18:00:00	Enteritidis	0	17	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	177
F04886	Marel (Boneless)	2020-01-27 06:00:00	Enteritidis	30	34	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	180
F04887	Wing Cutter	2020-02-03 18:00:00	Enteritidis	4	53	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04888	Drumette Conveyor	2020-02-03 18:00:00	Enteritidis	10	53	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	196
F04897	Crate	2020-02-04 06:00:00	Enteritidis	0	28	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	197
F04900	BOB Cutter	2020-02-04 18:00:00	Enteritidis	11	51	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04905	Marel	2020-02-10 18:00:00	Enteritidis	22	4	Enteritidis-4	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	189
F04909	Marel	2020-02-10 06:00:00	Enteritidis	22	29	Enteritidis-4	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	189
F04910	"S" Shape Conveyor	2020-02-10 06:00:00	Enteritidis	25	29	Enteritidis-4	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	188
F04911	Cutting Board	2020-02-10 06:00:00	Enteritidis	26	29	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04913	Two-sided Conveyor Belts	2020-02-10 06:00:00	Enteritidis	27	29	Enteritidis-4	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	188
F04914	Blue Conveyor (MD)	2020-02-10 06:00:00	Enteritidis	29	29	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	177
F04918	JLR	2020-02-18 18:00:00	Enteritidis	14	14	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	197
F04922	Two-sided Conveyor Belts	2020-02-19 06:00:00	Enteritidis	27	12	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	197
F04923	Crate	2020-02-19 06:00:00	Enteritidis	0	12	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04931	BOB Chute	2020-02-25 06:00:00	Enteritidis	12	66	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	199
F04932	Cone Line Cones	2020-02-25 06:00:00	Enteritidis	19	66	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	195
F04936	Cone Line Cones	2020-02-25 18:00:00	Enteritidis	19	14	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	Enteritidis-1	194
F04941	Crate	2020-03-02 06:00:00	Enteritidis	0	36	Enteritidis-7	Enteritidis-5	Enteritidis-3	Enteritidis-2	Enteritidis-2	Enteritidis-1	Enteritidis-1	178
Reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
F04724	Chicken Parts	2019-11-12 06:00:00	Kentucky	31	36	Kentucky-25	Kentucky-17	Kentucky-13	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	109
F04725	Chicken Parts	2019-12-03 06:00:00	Kentucky	31	40	Kentucky-27	Kentucky-18	Kentucky-14	Kentucky-7	Kentucky-7	Kentucky-5	Kentucky-5	744
F04726	Chicken Parts	2019-12-17 18:00:00	Kentucky	31	6	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04728	Tip Cutter	2019-11-19 18:00:00	Kentucky	3	67	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	93
F04729	Wing Chute	2019-11-19 18:00:00	Kentucky	5	67	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04730	Drumette Cutter	2019-11-19 18:00:00	Kentucky	8	67	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04731	Drumette Chute	2019-11-19 18:00:00	Kentucky	9	67	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04732	Drumette Conveyor	2019-11-19 18:00:00	Kentucky	10	67	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	92
F04734	Rapid Green Cone	2019-11-18 18:00:00	Kentucky	24	1	Kentucky-23	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	90
F04735	"S" Shape Conveyor	2019-11-18 06:00:00	Kentucky	25	36	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	83
F04736	Cutting Board	2019-11-18 18:00:00	Kentucky	26	1	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04737	Crate	2019-11-18 18:00:00	Kentucky	0	17	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	51
F04738	"S" Shape Conveyor	2019-11-18 18:00:00	Kentucky	25	1	Kentucky-18	Kentucky-14	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	91
F04739	Crate	2019-11-18 06:00:00	Kentucky	0	1	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04740	Crate	2019-11-18 06:00:00	Kentucky	0	1	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04741	Crate	2019-11-18 06:00:00	Kentucky	0	1	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04742	Crate	2019-11-18 06:00:00	Kentucky	0	1	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04743	Crate	2019-11-18 06:00:00	Kentucky	0	1	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	86
F04744	Conveyor	2019-11-26 06:00:00	Kentucky	21	57	Kentucky-34	Kentucky-24	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	174
F04745	Dumper Conveyor	2019-11-26 18:00:00	Kentucky	23	61	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04746	Rapid Green Cone	2019-11-26 18:00:00	Kentucky	24	61	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04748	Cone Line Cones 2	2019-11-25 06:00:00	Kentucky	20	57	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04749	Wing Cutter	2019-12-02 18:00:00	Kentucky	4	56	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	66
F04750	Wing Chute	2019-12-02 06:00:00	Kentucky	5	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04751	Wing Conveyor	2019-12-02 06:00:00	Kentucky	6	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	64
F04752	Drumette Chute	2019-12-02 06:00:00	Kentucky	9	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	64
F04753	Crate	2019-12-02 06:00:00	Kentucky	0	34	Kentucky-29	Kentucky-20	Kentucky-16	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	189
F04754	Crate	2019-12-02 06:00:00	Kentucky	0	34	Kentucky-30	Kentucky-20	Kentucky-16	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	189
F04757	Crate	2019-12-02 06:00:00	Kentucky	0	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04760	Crate	2019-12-03 06:00:00	Kentucky	0	26	Kentucky-18	Kentucky-14	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04762	Crate	2019-12-03 06:00:00	Kentucky	0	26	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04765	Bypass	2019-12-03 06:00:00	Kentucky	13	40	Kentucky-33	Kentucky-23	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	179
F04767	Dumper Conveyor	2019-12-09 18:00:00	Kentucky	23	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	178
F04768	Rapid Green Cone	2019-12-09 18:00:00	Kentucky	24	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	176
F04769	"S" Shape Conveyor	2019-12-09 18:00:00	Kentucky	25	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	177
F04770	Cutting Board	2019-12-09 18:00:00	Kentucky	26	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	173
F04771	Two-sided Conveyor Belts	2019-12-09 18:00:00	Kentucky	27	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	173
F04772	Marel (Boneless)	2019-12-09 18:00:00	Kentucky	30	28	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	173
F04775	"S" Shape Conveyor	2019-12-09 06:00:00	Kentucky	25	4	Kentucky-18	Kentucky-14	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	87
F04776	Crate	2019-12-09 06:00:00	Kentucky	0	4	Kentucky-15	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04777	Drumette Cutter	2019-12-10 06:00:00	Kentucky	8	24	Kentucky-25	Kentucky-17	Kentucky-13	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	103
F04778	Drumette Conveyor	2019-12-10 06:00:00	Kentucky	10	24	Kentucky-22	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	92
F04779	Crate	2019-12-10 06:00:00	Kentucky	0	24	Kentucky-13	Kentucky-11	Kentucky-9	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	52
F04780	Crate	2019-12-16 18:00:00	Kentucky	0	17	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04782	Crate	2019-12-16 18:00:00	Kentucky	0	17	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04783	Crate	2019-12-16 06:00:00	Kentucky	0	50	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04784	Crate	2019-12-16 06:00:00	Kentucky	0	50	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04785	Crate	2019-12-16 06:00:00	Kentucky	0	50	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	64
F04786	Crate	2019-12-16 06:00:00	Kentucky	0	50	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	87
F04787	Crate	2019-12-17 18:00:00	Kentucky	0	6	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	52
F04788	Crate	2019-12-17 18:00:00	Kentucky	0	6	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	83
F04789	Crate	2019-12-17 06:00:00	Kentucky	0	6	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04790	Crate	2019-12-17 06:00:00	Kentucky	0	6	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	53
F04791	Crate	2019-12-17 06:00:00	Kentucky	0	6	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04792	Crate	2019-12-17 06:00:00	Kentucky	0	6	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	53
F04794	Crate	2019-12-30 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	62
F04802	Drumette Chute	2019-12-31 06:00:00	Kentucky	9	66	Kentucky-24	Kentucky-16	Kentucky-12	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	95
F04803	Crate	2019-12-31 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	62
F04804	Crate	2019-12-31 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04805	Crate	2019-12-31 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	62
F04807	Crate	2019-12-31 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	62
F04811	Drumette Chute	2019-12-10 06:00:00	Kentucky	9	24	Kentucky-25	Kentucky-17	Kentucky-13	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	101
F04812	Crate	2019-12-10 06:00:00	Kentucky	0	24	Kentucky-31	Kentucky-21	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	173
F04813	Tip Cutter	2019-12-10 18:00:00	Kentucky	3	21	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	91
F04814	Wing Conveyor	2019-12-10 18:00:00	Kentucky	6	21	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04815	Crate	2019-12-10 18:00:00	Kentucky	0	21	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	87
F04816	Drumette Chute	2019-12-10 18:00:00	Kentucky	9	21	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	89
F04817	Crate	2020-01-06 06:00:00	Kentucky	0	33	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
